,shapeName,shapeID,shapeGroup,shapeType,longitude,latitude,is_land,tmz,elevation,surface_azimuth,fixed_yield,tracking_yield
33,Ambaca,91424787B12430954294271,AGO,ADM2,15.502798981577351,-8.251039325913528,True,Africa/Luanda,0.0,0,361603.13949759386,426714.9708614802
34,Banga,91424787B36383065614480,AGO,ADM2,15.139419191645528,-8.710955552567627,True,Africa/Luanda,861.0,0,353868.64172964846,416216.59257908567
35,Bolongongo,91424787B54602528175613,AGO,ADM2,15.098962749493294,-8.404424540892963,True,Africa/Luanda,0.0,0,340270.77899550134,395312.55170640687
36,Cambambe,91424787B55281524391880,AGO,ADM2,14.571906482001186,-9.534866735928516,True,Africa/Luanda,286.0,0,352057.1996270544,407883.02031242196
37,Cazengo,91424787B63495384054170,AGO,ADM2,14.8033904941434,-9.34023043398887,True,Africa/Luanda,663.0,0,354103.7791639311,420079.8850998683
38,Golungo Alto,91424787B99250884755371,AGO,ADM2,14.6436462448136,-9.104858479527055,True,Africa/Luanda,0.0,0,347651.96787090204,406955.4467257475
39,Lucala,91424787B23637017417513,AGO,ADM2,15.23201560071086,-9.155671675324836,True,Africa/Luanda,928.0,0,364604.93109244865,432093.5866221839
40,Ngonguembo,91424787B26459237154328,AGO,ADM2,14.90446480191438,-8.922978866021067,True,Africa/Luanda,0.0,0,354344.03448807134,418123.3325190751
41,Quiculongo,91424787B64555741816921,AGO,ADM2,15.31016862534987,-8.531226174724818,True,Africa/Luanda,0.0,0,341495.43741963076,383454.09071313177
42,Samba Caju,91424787B35995494267841,AGO,ADM2,15.491095280743751,-8.824745573776967,True,Africa/Luanda,1215.0,0,363643.70432451693,425292.85366168723
43,Amboim (Gabela),91424787B8651457584120,AGO,ADM2,14.382895124088138,-10.898324602242857,True,Africa/Luanda,0.0,0,360630.0938061406,431342.6989430016
44,Cassongue,91424787B41902563878454,AGO,ADM2,14.96297016150271,-11.820254009026439,True,Africa/Luanda,0.0,0,388179.924290347,467506.9406059879
45,Cela (Waku Kungo),91424787B80090252235678,AGO,ADM2,15.305421276636869,-11.285417105653712,True,Africa/Luanda,1414.0,0,378272.0819964239,455257.6959613115
46,Conda,91424787B21193839526041,AGO,ADM2,14.426576350559458,-11.182749213865861,True,Africa/Luanda,0.0,0,384885.1764160241,459592.2813666142
47,Ebo,91424787B423531810897,AGO,ADM2,14.724634758005564,-10.956241059669178,True,Africa/Luanda,1286.0,0,381417.6699544937,457295.072384935
48,Libolo (Calulo),91424787B93865841603880,AGO,ADM2,14.966605218804668,-10.06138925906975,True,Africa/Luanda,0.0,0,373044.39228195103,443386.95444752823
49,Mussende,91424787B41992735787773,AGO,ADM2,15.97657673997462,-10.276701967664414,True,Africa/Luanda,1356.0,0,392503.7961551368,479290.2863395908
50,Porto Amboim,91424787B69944310654421,AGO,ADM2,13.927204608043828,-10.633391976944537,True,Africa/Luanda,0.0,0,365025.29173580953,439704.19161433436
51,Quibala,91424787B28164329857407,AGO,ADM2,15.302505903620471,-10.69187716959414,True,Africa/Luanda,1282.0,0,373688.0259302779,447680.02242236224
52,Quilenda,91424787B30313273165210,AGO,ADM2,14.341583760237953,-10.532708683177944,True,Africa/Luanda,0.0,0,354410.42820041644,417933.55225450115
53,Seles (Uku Seles),91424787B68138507160329,AGO,ADM2,14.483163580415967,-11.468495327379816,True,Africa/Luanda,1133.0,0,382120.13640073524,461126.07627992803
54,Sumbe (Ngangula),91424787B14975788239862,AGO,ADM2,14.0513980469942,-11.548944900341654,True,Africa/Luanda,0.0,0,361719.3236933938,430176.6282975494
55,Cahama,91424787B18183137750299,AGO,ADM2,14.263924369307784,-16.40147865439088,True,Africa/Luanda,1193.0,0,427680.8359892691,530024.1259780953
56,Cuanhama,91424787B85678158059981,AGO,ADM2,16.310036599526,-16.487251031665032,True,Africa/Luanda,0.0,0,430840.4902853057,531703.0835768821
57,Curoca,91424787B51767671354696,AGO,ADM2,13.80461057181527,-16.92296370040376,True,Africa/Luanda,920.0,0,442344.8219504525,556922.2635577467
58,Cuvelai,91424787B91850178309544,AGO,ADM2,16.129260946192815,-15.745456557007294,True,Africa/Luanda,0.0,0,423036.3587929829,519512.5811128646
59,Namacunde,91424787B39035516179653,AGO,ADM2,16.610769262708345,-17.081343558046946,True,Africa/Luanda,0.0,0,432878.62624925165,535808.7729010623
60,Ombadja,91424787B27894484907941,AGO,ADM2,14.94618611017775,-16.76374166694048,True,Africa/Luanda,1099.0,0,435229.15267125063,544517.2966620325
61,Bailundo,91424787B22600080058275,AGO,ADM2,15.842166086917427,-11.948975455438275,True,Africa/Luanda,0.0,0,405262.0912010537,494112.9758157628
62,Caala,91424787B49594631401051,AGO,ADM2,15.569042049451683,-13.267705325798579,True,Africa/Luanda,1547.0,0,413563.97723258566,505708.9301572322
63,Catchiungo,91424787B4945056352027,AGO,ADM2,16.31004686389393,-12.740777246027012,True,Africa/Luanda,0.0,0,403777.23516952794,489647.2714755969
64,Ecunha (Ekunha),91424787B26929322337008,AGO,ADM2,15.487937030861502,-12.547380954450889,True,Africa/Luanda,1652.0,0,397978.4074588573,484161.28244510863
65,Huambo,91424787B1003787955743,AGO,ADM2,15.782917304347723,-12.845759766992602,True,Africa/Luanda,0.0,0,405434.36319183523,495128.4001097042
66,Longonjo,91424787B84175872195418,AGO,ADM2,15.21915774360779,-13.092980754637145,True,Africa/Luanda,1727.0,0,399955.4094790162,484736.32760300435
67,Londuimbale,91424787B2916587937827,AGO,ADM2,15.28123538494941,-12.236582143109263,True,Africa/Luanda,0.0,0,389315.7705798582,469311.1942525529
68,Mungo,91424787B44862565406561,AGO,ADM2,16.214757369057857,-11.770723504574544,True,Africa/Luanda,1471.0,0,386232.3989876261,466995.2943024017
69,Tchikala-Tcholohanga,91424787B62086735686623,AGO,ADM2,16.080511761501374,-12.960454783432668,True,Africa/Luanda,0.0,0,413512.17296055716,505853.1414544664
70,Tchinjenje,91424787B26225862093313,AGO,ADM2,14.930876788116107,-12.82740785215314,True,Africa/Luanda,1367.0,0,402901.43266858015,490927.75751333596
71,Ukuma,91424787B201340197780,AGO,ADM2,15.14621202712976,-12.761594845225686,True,Africa/Luanda,0.0,0,395583.88477382774,480119.1022862015
72,Chinguar,91424787B39722780012320,AGO,ADM2,16.57348917962748,-12.577701137924059,True,Africa/Luanda,0.0,0,405828.01859165897,495492.75670763006
73,Caconda,91424787B63087440838187,AGO,ADM2,15.154943117638249,-13.767023966269981,True,Africa/Luanda,1603.0,0,417515.75738618063,511506.2108037177
74,Pango-Aluquem,91424787B4488869677577,AGO,ADM2,14.331702806850181,-8.92127837082863,True,Africa/Luanda,296.0,0,337201.3007439013,398328.0890339996
75,Nancova,91424787B52653764028844,AGO,ADM2,18.70797384938602,-16.372424130105074,True,Africa/Luanda,0.0,0,427553.2782529355,524394.807956914
76,Caluquembe,91424787B79663411061170,AGO,ADM2,14.534600002858767,-14.07469611220918,True,Africa/Luanda,0.0,0,422330.04692457383,520354.9910222817
77,Chibia,91424787B27563154960446,AGO,ADM2,13.833339897047498,-15.243459320545139,True,Africa/Luanda,1408.0,0,423261.9661653488,523143.90678786894
78,Chicomba,91424787B36301106441136,AGO,ADM2,15.004391694180875,-14.317006848762784,True,Africa/Luanda,0.0,0,435455.3622921286,541955.8896377123
79,Chipindo,91424787B45982790117633,AGO,ADM2,15.715816886379333,-13.89768612910304,True,Africa/Luanda,0.0,0,410981.3732615652,504405.1019922639
80,Cuvango,91424787B73167637219088,AGO,ADM2,16.305374925825646,-14.223469402740871,True,Africa/Luanda,1532.0,0,421421.975489774,519352.8799097134
81,Gambos(Chiange),91424787B65882215003042,AGO,ADM2,14.021611959291898,-15.840364556648195,True,Africa/Luanda,0.0,0,430544.9743518118,535067.4184536134
82,Humpata,91424787B49807424805266,AGO,ADM2,13.34636476391071,-15.104545391714597,True,Africa/Luanda,0.0,0,430818.8511054448,540407.6719075326
83,Jamba,91424787B29193645971076,AGO,ADM2,15.813215826606234,-14.83235385679577,True,Africa/Luanda,1433.0,0,419414.9698180847,516943.3443153116
84,Lubango,91424787B12923410016524,AGO,ADM2,13.805351918748409,-14.757424833473468,True,Africa/Luanda,0.0,0,430514.7627036564,531282.4012211027
85,Matala,91424787B96825353351701,AGO,ADM2,15.130924344683633,-15.297427125583836,True,Africa/Luanda,1237.0,0,428774.1080131405,530415.8265296072
86,Quilengues,91424787B76902935205568,AGO,ADM2,13.937933573325042,-14.160932834331563,True,Africa/Luanda,0.0,0,417524.2250997921,510714.8550635134
